iter	MultiClass
0	1.052283894
1	1.018487843
2	0.974953259
3	0.9471715078
4	0.9113685435
5	0.875021807
6	0.8564244238
7	0.8257998513
8	0.8007971268
9	0.7762514912
10	0.7532285685
11	0.7373454525
12	0.7145444371
13	0.6924721523
14	0.6701277469
15	0.650995914
16	0.6297456021
17	0.6112418724
18	0.5917636975
19	0.5709798867
20	0.5558435906
21	0.5352833064
22	0.5240001312
23	0.5122303096
24	0.49848385
25	0.4858184795
26	0.4749913867
27	0.4650404276
28	0.4545823459
29	0.4443503813
30	0.4347485685
31	0.4248618612
32	0.4166793049
33	0.4082107291
34	0.3991868185
35	0.3926136877
36	0.3805119007
37	0.3695796849
38	0.3600410235
39	0.3531371054
40	0.3449234851
41	0.3372595792
42	0.33109759
43	0.3213516118
44	0.3149896063
45	0.3080107252
46	0.300497022
47	0.2939996557
48	0.2890448123
49	0.2830934064
50	0.2782544282
51	0.2725587663
52	0.26822881
53	0.262406341
54	0.2573454596
55	0.2521917764
56	0.2470333942
57	0.2418972446
58	0.2378135172
59	0.233298899
60	0.228405544
61	0.2245897761
62	0.2206053814
63	0.2166983463
64	0.2129981155
65	0.2092501073
66	0.2059240817
67	0.2025217468
68	0.1982889234
69	0.1953497262
70	0.1913213805
71	0.1887395991
72	0.1861690245
73	0.1830989315
74	0.1806062096
75	0.1772682122
76	0.1749391294
77	0.1729185348
78	0.1700054565
79	0.1675838158
80	0.165794935
81	0.1632302212
82	0.1607093477
83	0.158330224
84	0.1559908839
85	0.154153461
86	0.1517683506
87	0.1500383579
88	0.1478835811
89	0.1462201385
90	0.1442748684
91	0.1419443703
92	0.1399641967
93	0.1383939143
94	0.1365305027
95	0.1351143674
96	0.1338072427
97	0.1322794814
98	0.1306840042
99	0.1288288464
100	0.1268133353
101	0.1254543021
102	0.1238122877
103	0.1225800848
104	0.1210219034
105	0.1195490629
106	0.1184037571
107	0.1168657745
108	0.1152266151
109	0.1140787108
110	0.1127974548
111	0.1114710808
112	0.1103896921
113	0.1095129914
114	0.1085688976
115	0.1072453232
116	0.1061290218
117	0.1050476557
118	0.103926959
119	0.1029998378
120	0.1021828119
121	0.1008946839
122	0.09991963676
123	0.09914996312
124	0.09806903867
125	0.09703872752
126	0.0961697297
127	0.0951314913
128	0.09422305338
129	0.09334459168
130	0.0925361995
131	0.09177052919
132	0.09065961779
133	0.08978420814
134	0.08893931646
135	0.08799593886
136	0.08687615125
137	0.08601021623
138	0.08511776616
139	0.08438218316
140	0.08342584434
141	0.08264577003
142	0.08187231662
143	0.08106989143
144	0.08042115099
145	0.07985823843
146	0.07917895335
147	0.07849916431
148	0.07759628296
149	0.07690981722
150	0.07638983787
151	0.07569236977
152	0.0751033578
153	0.07448311388
154	0.07370586869
155	0.07314181197
156	0.07247650945
157	0.07184841711
158	0.07127745822
159	0.07067032724
160	0.07009544314
161	0.06956683139
162	0.06911908125
163	0.06852907406
164	0.0680471787
165	0.06758977982
166	0.06714690258
167	0.06662048652
168	0.06608742397
169	0.06554925795
170	0.06501122182
171	0.06448580386
172	0.06407599046
173	0.06368210314
174	0.06303265787
175	0.06267781547
176	0.06207145758
177	0.06159063553
178	0.06103661594
179	0.0606172309
180	0.06001703311
181	0.05964356683
182	0.05922852329
183	0.05878184558
