iter	Passed	Remaining
462	756	877
463	757	875
464	758	872
465	759	870
466	760	867
467	761	865
468	762	863
469	763	860
470	765	859
471	766	857
472	768	855
473	769	853
474	770	851
475	771	849
476	772	847
477	773	845
478	774	842
479	776	840
480	777	838
481	778	836
482	779	834
483	780	832
484	782	830
485	783	828
486	784	826
487	785	823
488	786	821
489	787	819
490	788	817
491	789	814
492	790	812
493	791	810
494	792	808
495	793	806
496	794	804
497	795	802
498	797	800
499	797	797
500	798	795
501	800	793
502	801	791
503	802	789
504	803	787
505	804	785
506	805	783
507	806	781
508	807	779
509	820	787
510	821	785
511	822	783
512	823	781
513	824	779
514	826	777
515	827	775
516	828	773
517	829	771
518	830	769
519	831	767
520	832	765
521	833	763
522	835	761
523	836	759
524	837	757
525	839	756
526	840	754
527	841	752
528	842	750
529	844	748
530	845	746
531	846	744
532	847	742
533	848	740
534	849	738
535	850	736
536	851	734
537	853	732
538	854	730
539	856	729
540	857	727
541	858	725
542	859	723
543	860	721
544	862	719
545	863	717
546	864	716
547	865	714
548	867	712
549	868	710
550	869	708
551	870	706
552	871	704
553	873	703
554	874	701
555	875	699
556	876	697
557	877	695
558	878	693
559	879	691
560	880	689
561	882	687
562	883	685
563	884	684
564	885	682
565	886	680
566	887	678
567	888	676
568	889	674
569	890	672
570	891	670
571	892	668
572	893	666
573	895	664
574	896	662
575	897	660
576	899	659
577	900	657
578	901	655
579	902	653
580	903	651
581	904	649
582	905	647
583	906	645
584	907	643
585	908	641
586	909	640
587	911	638
588	912	636
589	913	634
590	914	633
591	915	631
592	916	629
593	917	627
594	918	625
595	919	623
596	920	621
597	921	619
598	923	617
599	924	616
600	926	614
601	927	613
602	928	611
603	929	609
604	930	607
605	931	605
606	932	603
607	933	601
608	934	600
609	935	598
610	936	596
611	938	594
612	939	593
613	941	591
614	942	589
615	943	588
616	944	586
617	945	584
618	946	582
619	948	581
620	949	579
621	950	577
622	951	575
623	953	574
624	954	572
625	955	571
626	956	569
627	957	567
628	958	565
629	959	563
630	960	561
631	961	560
632	962	558
633	963	556
634	965	554
635	966	553
636	968	551
637	970	550
638	971	548
639	972	546
640	973	545
641	974	543
642	975	541
643	976	539
644	977	538
645	978	536
646	979	534
647	981	532
648	982	531
649	983	529
650	984	527
651	985	525
652	986	524
653	987	522
654	988	520
655	989	518
656	990	517
657	992	515
658	993	514
659	995	512
660	997	511
661	998	509
662	999	508
663	1001	506
664	1002	505
665	1003	503
666	1004	501
667	1005	499
668	1006	498
669	1007	496
670	1009	494
671	1010	493
672	1011	491
673	1012	489
674	1013	488
675	1014	486
676	1015	484
677	1017	483
678	1018	481
679	1019	479
680	1020	478
681	1021	476
682	1022	474
683	1024	473
684	1025	471
685	1026	469
686	1027	468
687	1028	466
688	1029	464
689	1030	463
690	1031	461
691	1032	459
692	1033	457
693	1034	456
694	1035	454
695	1037	453
696	1039	451
697	1040	450
698	1041	448
699	1042	446
700	1043	445
701	1044	443
702	1045	441
703	1046	440
704	1047	438
705	1049	436
706	1050	435
707	1051	433
708	1053	432
709	1054	430
710	1055	429
711	1056	427
712	1057	425
713	1058	424
714	1059	422
715	1060	420
716	1061	419
717	1062	417
718	1063	415
719	1065	414
720	1066	412
721	1068	411
722	1069	409
723	1070	408
724	1071	406
725	1072	404
726	1073	403
727	1075	401
728	1075	399
729	1076	398
730	1077	396
731	1079	395
732	1080	393
733	1082	392
734	1083	390
735	1084	389
736	1085	387
737	1086	385
738	1087	384
739	1088	382
740	1089	380
741	1091	379
742	1092	377
743	1093	376
744	1094	374
745	1095	372
746	1096	371
747	1097	369
748	1098	368
749	1099	366
750	1100	364
751	1101	363
752	1102	361
753	1103	359
754	1104	358
755	1106	357
756	1108	355
757	1109	354
758	1110	352
759	1111	351
760	1112	349
761	1113	347
762	1115	346
763	1116	344
764	1117	343
765	1118	341
766	1120	340
767	1121	338
768	1122	337
769	1123	335
770	1125	334
771	1126	332
772	1127	331
773	1128	329
774	1129	327
775	1130	326
776	1131	324
777	1133	323
778	1134	321
779	1135	320
780	1136	318
781	1137	317
782	1138	315
783	1139	313
784	1140	312
785	1141	310
786	1142	309
787	1143	307
788	1144	306
789	1145	304
790	1146	303
791	1148	301
792	1149	300
793	1151	298
794	1152	297
795	1154	295
796	1155	294
797	1156	292
798	1157	291
799	1158	289
800	1159	288
801	1160	286
802	1161	285
803	1163	283
804	1164	282
805	1165	280
806	1166	278
807	1167	277
808	1168	275
809	1169	274
810	1170	272
811	1171	271
812	1172	269
813	1173	268
814	1174	266
815	1175	265
816	1176	263
817	1177	262
818	1178	260
819	1179	259
820	1181	257
821	1181	255
822	1182	254
823	1184	252
824	1185	251
825	1186	249
826	1187	248
827	1188	246
828	1189	245
829	1190	243
830	1192	242
831	1193	240
832	1194	239
833	1196	238
834	1197	236
835	1198	235
836	1199	233
837	1200	232
838	1201	230
839	1202	229
840	1203	227
841	1205	226
842	1206	224
843	1207	223
844	1208	221
845	1209	220
846	1210	218
847	1211	217
848	1212	215
849	1213	214
850	1214	212
851	1216	211
852	1217	209
853	1218	208
854	1219	206
855	1221	205
856	1222	203
857	1223	202
858	1224	200
859	1225	199
860	1226	198
861	1227	196
862	1228	195
863	1229	193
864	1230	192
865	1231	190
866	1232	189
867	1234	187
868	1235	186
869	1236	184
870	1237	183
871	1239	181
872	1240	180
873	1241	178
874	1242	177
875	1243	176
876	1244	174
877	1245	173
878	1246	171
879	1248	170
880	1249	168
881	1250	167
882	1251	165
883	1252	164
884	1253	162
885	1254	161
886	1255	159
887	1256	158
888	1257	157
889	1258	155
890	1259	154
891	1260	152
892	1261	151
893	1263	149
894	1265	148
895	1266	146
896	1267	145
897	1268	144
898	1269	142
899	1270	141
900	1271	139
901	1272	138
902	1273	136
903	1274	135
904	1275	133
905	1276	132
906	1278	131
907	1279	129
908	1280	128
909	1281	126
910	1282	125
911	1283	123
912	1285	122
913	1286	121
914	1288	119
915	1289	118
916	1290	116
917	1292	115
918	1293	114
919	1294	112
920	1296	111
921	1297	109
922	1298	108
923	1299	106
924	1300	105
925	1301	103
926	1302	102
927	1304	101
928	1306	99
929	1307	98
930	1308	96
931	1309	95
932	1311	94
933	1312	92
934	1313	91
935	1314	89
936	1315	88
937	1317	87
938	1318	85
939	1320	84
940	1321	82
941	1323	81
942	1324	80
943	1325	78
944	1326	77
945	1327	75
946	1328	74
947	1329	72
948	1330	71
949	1332	70
950	1333	68
951	1335	67
952	1336	65
953	1337	64
954	1338	63
955	1339	61
956	1340	60
957	1341	58
958	1342	57
959	1343	55
960	1344	54
961	1346	53
962	1347	51
963	1348	50
964	1349	48
965	1350	47
966	1351	46
967	1352	44
968	1354	43
969	1355	41
970	1356	40
971	1357	39
972	1358	37
973	1359	36
974	1360	34
975	1362	33
976	1363	32
977	1364	30
978	1365	29
979	1367	27
980	1368	26
981	1369	25
982	1370	23
983	1371	22
984	1372	20
985	1373	19
986	1375	18
987	1377	16
988	1378	15
989	1379	13
990	1380	12
991	1381	11
992	1382	9
993	1383	8
994	1385	6
995	1386	5
996	1387	4
997	1388	2
998	1389	1
999	1390	0
